artifact	path	exists	note
smoke_manifest_snapshot	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/environment_validation/smoke_cases.snapshot.tsv	1	frozen smoke manifest snapshot for this run
published_smoke_summary	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/summary.txt	1	stable smoke-root summary for downstream standard-gap capture
published_smoke_status_report	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/status_report.md	1	stable smoke-root human-readable report
published_smoke_failure_report	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/failure_report.md	0	stable smoke-root failure report for failed smoke runs
published_smoke_iteration_evidence	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/iteration_evidence.txt	1	stable smoke-root copy of the iteration handoff
published_smoke_retry_loop_control	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/retry_loop_control.json	1	stable smoke-root copy of the retry-loop continuation control
published_smoke_diagnostics_manifest	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/diagnostics_manifest.tsv	1	stable smoke-root diagnostics manifest mirror
published_smoke_standard_gap_json	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/standard_gap.json	1	machine-readable explanation of how this run relates to lca_tree_stress_v5
published_smoke_run_record	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/run_record.json	1	stable smoke-root copy of the current run record
published_smoke_run_comparison	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke/run_comparison.json	1	stable smoke-root copy of the current-vs-previous run comparison
run_archive_iteration_evidence	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke_run_history/run.000023/iteration_evidence.txt	1	copy of the stage-labeled iteration handoff preserved under the per-run archive
run_archive_run_record	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke_run_history/run.000023/run_record.json	1	copy of the current run record preserved under the per-run archive
run_archive_run_comparison	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke_run_history/run.000023/run_comparison.json	1	copy of the current-vs-previous run comparison preserved under the per-run archive
run_archive_source_root_snapshot	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke_run_history/run.000023/source_root_snapshot	0	copy of the failure/source bundle preserved under the per-run archive
run_archive_source_failure_snapshot_manifest	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke_run_history/run.000023/source_failure_snapshot_manifest.tsv	0	immutable per-run index that remaps source failure artifacts into the archived snapshot tree
run_archive_launcher_failure_snapshot	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/smoke_run_history/run.000023/launcher_failure_root_snapshot	0	copy of the launcher failure bundle preserved under the per-run archive
