region_index	kind	region_fingerprint	source_family_fingerprints	symbol_bound	antecedent_bound	raw_candidates	canonical_candidates	out_of_pool_candidates	local_exact_survivors	plus_one_survivors	theorem_preserving_survivors	why
11	quintuple_merged	quintuple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	107	107	107	0	0	0	quintupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=123 canonical=107 outOfPool=107 ; bounded out-of-pool expansion region scanned
12	quintuple_merged	quintuple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	294	294	294	0	0	0	quintupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=368 canonical=294 outOfPool=294 ; bounded out-of-pool expansion region scanned
13	quintuple_merged	quintuple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	294	294	294	0	0	0	quintupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=368 canonical=294 outOfPool=294 ; bounded out-of-pool expansion region scanned
14	quintuple_merged	quintuple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	294	294	294	0	0	0	quintupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=368 canonical=294 outOfPool=294 ; bounded out-of-pool expansion region scanned
15	quintuple_merged	quintuple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	97	97	97	0	0	0	quintupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=123 canonical=97 outOfPool=97 ; bounded out-of-pool expansion region scanned
16	quintuple_merged	quintuple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	50	50	50	0	0	0	quintupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=50 canonical=50 outOfPool=50 ; bounded out-of-pool expansion region scanned
17	quintuple_merged	quintuple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	151	151	151	0	0	0	quintupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=189 canonical=151 outOfPool=151 ; bounded out-of-pool expansion region scanned
18	quintuple_merged	quintuple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	151	151	151	0	0	0	quintupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=189 canonical=151 outOfPool=151 ; bounded out-of-pool expansion region scanned
19	quintuple_merged	quintuple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	151	151	151	0	0	0	quintupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=189 canonical=151 outOfPool=151 ; bounded out-of-pool expansion region scanned
20	quintuple_merged	quintuple:n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	151	151	151	0	0	0	quintupleMergedFamilies=n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=189 canonical=151 outOfPool=151 ; bounded out-of-pool expansion region scanned
