item_key	display_name	current_validation_status	current_provenance_source	imported_source_tag	current_authoritative_accessor	current_constructor_path	current_cache_path	direct_consumers	human_scope_labels	caveat
support8_antecedent8_frontier	support8_antecedent8_frontier	current_verified	fresh_current_runtime_generated	support8_shell7_and_shell8_frontier_output_72	support8_antecedent8_frontier_theorem_data_	scan_antecedent_shell8_frontier_	/mnt/data/support8_antecedent8_candidate_universe_76.tsv;/mnt/data/antecedent_shell8_local_exact_result_cache_76.tsv;/mnt/data/antecedent_shell8_local_exact_progress_cache_76.tsv;/mnt/data/antecedent_shell8_local_exact_survivors_76.tsv;/mnt/data/antecedent_shell8_plus_one_result_cache_76.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	72 shell8 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_six_frontier	antecedent_plus_six_frontier	current_verified	fresh_current_runtime_generated	support8_shell9_frontier_output_74	antecedent_plus_six_frontier_theorem_data_	scan_antecedent_shell9_frontier_	/mnt/data/antecedent_plus_six_candidate_universe_76.tsv;/mnt/data/antecedent_shell9_local_exact_result_cache_76.tsv;/mnt/data/antecedent_shell9_local_exact_progress_cache_76.tsv;/mnt/data/antecedent_shell9_local_exact_survivors_76.tsv;/mnt/data/antecedent_shell9_plus_one_result_cache_76.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	74 shell9 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
support8_antecedent9_frontier	support8_antecedent9_frontier	current_verified	fresh_current_runtime_generated	support8_shell9_frontier_output_74	support8_antecedent9_frontier_theorem_data_	scan_antecedent_shell9_frontier_	/mnt/data/support8_antecedent9_candidate_universe_76.tsv;/mnt/data/antecedent_shell9_local_exact_result_cache_76.tsv;/mnt/data/antecedent_shell9_local_exact_progress_cache_76.tsv;/mnt/data/antecedent_shell9_local_exact_survivors_76.tsv;/mnt/data/antecedent_shell9_plus_one_result_cache_76.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	74 shell9 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_seven_frontier	antecedent_plus_seven_frontier	current_verified	fresh_current_runtime_generated	support8_shell10_frontier_output_75	antecedent_plus_seven_frontier_theorem_data_	scan_antecedent_shell10_frontier_	/mnt/data/antecedent_plus_seven_candidate_universe_76.tsv;/mnt/data/antecedent_shell10_local_exact_result_cache_76.tsv;/mnt/data/antecedent_shell10_local_exact_progress_cache_76.tsv;/mnt/data/antecedent_shell10_local_exact_survivors_76.tsv;/mnt/data/antecedent_shell10_plus_one_result_cache_76.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	75 shell10 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
support8_antecedent10_frontier	support8_antecedent10_frontier	current_verified	fresh_current_runtime_generated	support8_shell10_frontier_output_75	support8_antecedent10_frontier_theorem_data_	scan_antecedent_shell10_frontier_	/mnt/data/support8_antecedent10_candidate_universe_76.tsv;/mnt/data/antecedent_shell10_local_exact_result_cache_76.tsv;/mnt/data/antecedent_shell10_local_exact_progress_cache_76.tsv;/mnt/data/antecedent_shell10_local_exact_survivors_76.tsv;/mnt/data/antecedent_shell10_plus_one_result_cache_76.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	75 shell10 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_ten_frontier	antecedent_plus_ten_frontier	current_verified	fresh_current_runtime_generated	support8_shell12_and_shell13_frontier_output_77	antecedent_plus_ten_frontier_theorem_data_	scan_antecedent_shell13_frontier_	/mnt/data/antecedent_plus_ten_candidate_universe_90.tsv;/mnt/data/antecedent_shell13_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell13_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell13_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell13_plus_one_result_cache_90.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	77 shell13 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
support8_antecedent13_frontier	support8_antecedent13_frontier	current_verified	fresh_current_runtime_generated	support8_shell12_and_shell13_frontier_output_77	support8_antecedent13_frontier_theorem_data_	scan_antecedent_shell13_frontier_	/mnt/data/support8_antecedent13_candidate_universe_90.tsv;/mnt/data/antecedent_shell13_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell13_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell13_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell13_plus_one_result_cache_90.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	77 shell13 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_eleven_frontier	antecedent_plus_eleven_frontier	current_verified	fresh_current_runtime_generated	support8_shell14_frontier_output_79	antecedent_plus_eleven_frontier_theorem_data_	scan_antecedent_shell14_frontier_	/mnt/data/antecedent_plus_eleven_candidate_universe_90.tsv;/mnt/data/antecedent_shell14_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell14_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell14_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell14_plus_one_result_cache_90.tsv	support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	79 shell14 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
support8_antecedent14_frontier	support8_antecedent14_frontier	current_verified	fresh_current_runtime_generated	support8_shell14_frontier_output_79	support8_antecedent14_frontier_theorem_data_	scan_antecedent_shell14_frontier_	/mnt/data/support8_antecedent14_candidate_universe_90.tsv;/mnt/data/antecedent_shell14_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell14_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell14_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell14_plus_one_result_cache_90.tsv	support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	79 shell14 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_eight_frontier	antecedent_plus_eight_frontier	current_verified	mixed	support8_shell11_frontier_output_76	antecedent_plus_eight_frontier_theorem_data_	scan_antecedent_shell11_frontier_	/mnt/data/antecedent_plus_eight_candidate_universe_90.tsv;/mnt/data/antecedent_shell11_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell11_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell11_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell11_plus_one_result_cache_90.tsv		76 shell11 pair	This lower-frontier object is exposed in first-class inventory form for dependency clarity, but it is outside the minimal current support8 antecedent15 shell theorem dependency subset.
support8_antecedent11_frontier	support8_antecedent11_frontier	current_verified	mixed	support8_shell11_frontier_output_76	support8_antecedent11_frontier_theorem_data_	scan_antecedent_shell11_frontier_	/mnt/data/support8_antecedent11_candidate_universe_90.tsv;/mnt/data/antecedent_shell11_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell11_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell11_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell11_plus_one_result_cache_90.tsv		76 shell11 pair	This lower-frontier object is exposed in first-class inventory form for dependency clarity, but it is outside the minimal current support8 antecedent15 shell theorem dependency subset.
antecedent_plus_nine_frontier	antecedent_plus_nine_frontier	current_verified	mixed	support8_shell12_and_shell13_frontier_output_77	antecedent_plus_nine_frontier_theorem_data_	scan_antecedent_shell12_frontier_	/mnt/data/antecedent_plus_nine_candidate_universe_90.tsv;/mnt/data/antecedent_shell12_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell12_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell12_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell12_plus_one_result_cache_90.tsv		77 shell12 pair	This lower-frontier object is exposed in first-class inventory form for dependency clarity, but it is outside the minimal current support8 antecedent15 shell theorem dependency subset.
support8_antecedent12_frontier	support8_antecedent12_frontier	current_verified	mixed	support8_shell12_and_shell13_frontier_output_77	support8_antecedent12_frontier_theorem_data_	scan_antecedent_shell12_frontier_	/mnt/data/support8_antecedent12_candidate_universe_90.tsv;/mnt/data/antecedent_shell12_local_exact_result_cache_90.tsv;/mnt/data/antecedent_shell12_local_exact_progress_cache_90.tsv;/mnt/data/antecedent_shell12_local_exact_survivors_90.tsv;/mnt/data/antecedent_shell12_plus_one_result_cache_90.tsv		77 shell12 pair	This lower-frontier object is exposed in first-class inventory form for dependency clarity, but it is outside the minimal current support8 antecedent15 shell theorem dependency subset.
