index	num_symbols	premises	conclusion	support	fingerprint	human_readable
10	5	2,3,2;2,4,4;3,5,4	2,5,4	194	n=5 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4)	n=5 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4) support=0 fingerprint=n=5 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4)
11	5	2,3,2;2,4,4	3,4,4	1899	n=5 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)	n=5 antecedents=[(2,3->2) (2,4->4)] => (3,4->4) support=0 fingerprint=n=5 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)
12	5	2,3,2;2,4,5	3,4,5	630	n=5 antecedents=[(2,3->2) (2,4->5)] => (3,4->5)	n=5 antecedents=[(2,3->2) (2,4->5)] => (3,4->5) support=0 fingerprint=n=5 antecedents=[(2,3->2) (2,4->5)] => (3,4->5)
13	5	2,3,4	2,4,4	3851	n=5 antecedents=[(2,3->4)] => (2,4->4)	n=5 antecedents=[(2,3->4)] => (2,4->4) support=0 fingerprint=n=5 antecedents=[(2,3->4)] => (2,4->4)
14	5		1,2,1	8072	n=5 antecedents=[] => (1,2->1)	n=5 antecedents=[] => (1,2->1) support=0 fingerprint=n=5 antecedents=[] => (1,2->1)
15	6	2,3,1;2,4,2	3,4,1	2027	n=6 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)	n=6 antecedents=[(2,3->1) (2,4->2)] => (3,4->1) support=0 fingerprint=n=6 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)
16	6	2,3,1;2,4,4	3,4,1	1418	n=6 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)	n=6 antecedents=[(2,3->1) (2,4->4)] => (3,4->1) support=0 fingerprint=n=6 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)
17	6	2,3,2;2,4,2;3,4,5	2,5,2	129	n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2)	n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2) support=0 fingerprint=n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2)
18	6	2,3,2;2,4,4;3,5,4	2,5,4	310	n=6 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4)	n=6 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4) support=0 fingerprint=n=6 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4)
19	6	2,3,2;2,4,4	3,4,4	1968	n=6 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)	n=6 antecedents=[(2,3->2) (2,4->4)] => (3,4->4) support=0 fingerprint=n=6 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)
20	6	2,3,2;2,4,5	3,4,5	1124	n=6 antecedents=[(2,3->2) (2,4->5)] => (3,4->5)	n=6 antecedents=[(2,3->2) (2,4->5)] => (3,4->5) support=0 fingerprint=n=6 antecedents=[(2,3->2) (2,4->5)] => (3,4->5)
21	6	2,3,4	2,4,4	3585	n=6 antecedents=[(2,3->4)] => (2,4->4)	n=6 antecedents=[(2,3->4)] => (2,4->4) support=0 fingerprint=n=6 antecedents=[(2,3->4)] => (2,4->4)
22	6		1,2,1	5955	n=6 antecedents=[] => (1,2->1)	n=6 antecedents=[] => (1,2->1) support=0 fingerprint=n=6 antecedents=[] => (1,2->1)
23	7	2,3,1;2,7,2	3,7,1	3	n=7 antecedents=[(2,3->1) (2,7->2)] => (3,7->1)	n=7 antecedents=[(2,3->1) (2,7->2)] => (3,7->1) support=0 fingerprint=n=7 antecedents=[(2,3->1) (2,7->2)] => (3,7->1)
24	7	2,3,1;2,7,7	3,7,1	1	n=7 antecedents=[(2,3->1) (2,7->7)] => (3,7->1)	n=7 antecedents=[(2,3->1) (2,7->7)] => (3,7->1) support=0 fingerprint=n=7 antecedents=[(2,3->1) (2,7->7)] => (3,7->1)
25	7	2,3,1;3,7,3	2,7,1	2	n=7 antecedents=[(2,3->1) (3,7->3)] => (2,7->1)	n=7 antecedents=[(2,3->1) (3,7->3)] => (2,7->1) support=0 fingerprint=n=7 antecedents=[(2,3->1) (3,7->3)] => (2,7->1)
26	7	2,3,1;3,7,7	2,7,1	1	n=7 antecedents=[(2,3->1) (3,7->7)] => (2,7->1)	n=7 antecedents=[(2,3->1) (3,7->7)] => (2,7->1) support=0 fingerprint=n=7 antecedents=[(2,3->1) (3,7->7)] => (2,7->1)
27	7	2,3,2;2,6,7	3,6,7	1	n=7 antecedents=[(2,3->2) (2,6->7)] => (3,6->7)	n=7 antecedents=[(2,3->2) (2,6->7)] => (3,6->7) support=0 fingerprint=n=7 antecedents=[(2,3->2) (2,6->7)] => (3,6->7)
28	7	2,3,2;2,7,7	3,7,7	1	n=7 antecedents=[(2,3->2) (2,7->7)] => (3,7->7)	n=7 antecedents=[(2,3->2) (2,7->7)] => (3,7->7) support=0 fingerprint=n=7 antecedents=[(2,3->2) (2,7->7)] => (3,7->7)
29	7	2,3,2;3,7,3	2,7,2	4	n=7 antecedents=[(2,3->2) (3,7->3)] => (2,7->2)	n=7 antecedents=[(2,3->2) (3,7->3)] => (2,7->2) support=0 fingerprint=n=7 antecedents=[(2,3->2) (3,7->3)] => (2,7->2)
30	7	2,3,4;2,7,2	3,7,4	1	n=7 antecedents=[(2,3->4) (2,7->2)] => (3,7->4)	n=7 antecedents=[(2,3->4) (2,7->2)] => (3,7->4) support=0 fingerprint=n=7 antecedents=[(2,3->4) (2,7->2)] => (3,7->4)
31	7	2,3,4;3,7,3	2,7,4	1	n=7 antecedents=[(2,3->4) (3,7->3)] => (2,7->4)	n=7 antecedents=[(2,3->4) (3,7->3)] => (2,7->4) support=0 fingerprint=n=7 antecedents=[(2,3->4) (3,7->3)] => (2,7->4)
32	7	2,4,2;4,7,4	2,7,2	3	n=7 antecedents=[(2,4->2) (4,7->4)] => (2,7->2)	n=7 antecedents=[(2,4->2) (4,7->4)] => (2,7->2) support=0 fingerprint=n=7 antecedents=[(2,4->2) (4,7->4)] => (2,7->2)
33	7	2,4,4;2,7,2	4,7,4	1	n=7 antecedents=[(2,4->4) (2,7->2)] => (4,7->4)	n=7 antecedents=[(2,4->4) (2,7->2)] => (4,7->4) support=0 fingerprint=n=7 antecedents=[(2,4->4) (2,7->2)] => (4,7->4)
34	7	2,4,4;4,6,7	2,6,7	1	n=7 antecedents=[(2,4->4) (4,6->7)] => (2,6->7)	n=7 antecedents=[(2,4->4) (4,6->7)] => (2,6->7) support=0 fingerprint=n=7 antecedents=[(2,4->4) (4,6->7)] => (2,6->7)
35	7	2,4,4;4,7,6	2,7,6	2	n=7 antecedents=[(2,4->4) (4,7->6)] => (2,7->6)	n=7 antecedents=[(2,4->4) (4,7->6)] => (2,7->6) support=0 fingerprint=n=7 antecedents=[(2,4->4) (4,7->6)] => (2,7->6)
36	7	2,4,4;4,7,7	2,7,7	1	n=7 antecedents=[(2,4->4) (4,7->7)] => (2,7->7)	n=7 antecedents=[(2,4->4) (4,7->7)] => (2,7->7) support=0 fingerprint=n=7 antecedents=[(2,4->4) (4,7->7)] => (2,7->7)
37	7	2,4,5;2,7,2	4,7,5	3	n=7 antecedents=[(2,4->5) (2,7->2)] => (4,7->5)	n=7 antecedents=[(2,4->5) (2,7->2)] => (4,7->5) support=0 fingerprint=n=7 antecedents=[(2,4->5) (2,7->2)] => (4,7->5)
38	7	2,4,5;4,7,4	2,7,5	2	n=7 antecedents=[(2,4->5) (4,7->4)] => (2,7->5)	n=7 antecedents=[(2,4->5) (4,7->4)] => (2,7->5) support=0 fingerprint=n=7 antecedents=[(2,4->5) (4,7->4)] => (2,7->5)
39	7	2,5,4;2,7,2	5,7,4	1	n=7 antecedents=[(2,5->4) (2,7->2)] => (5,7->4)	n=7 antecedents=[(2,5->4) (2,7->2)] => (5,7->4) support=0 fingerprint=n=7 antecedents=[(2,5->4) (2,7->2)] => (5,7->4)
40	7	2,5,5;2,7,1	5,7,1	1	n=7 antecedents=[(2,5->5) (2,7->1)] => (5,7->1)	n=7 antecedents=[(2,5->5) (2,7->1)] => (5,7->1) support=0 fingerprint=n=7 antecedents=[(2,5->5) (2,7->1)] => (5,7->1)
41	7	2,5,5;2,7,2	5,7,5	2	n=7 antecedents=[(2,5->5) (2,7->2)] => (5,7->5)	n=7 antecedents=[(2,5->5) (2,7->2)] => (5,7->5) support=0 fingerprint=n=7 antecedents=[(2,5->5) (2,7->2)] => (5,7->5)
42	7	2,5,5;5,6,7	2,6,7	2	n=7 antecedents=[(2,5->5) (5,6->7)] => (2,6->7)	n=7 antecedents=[(2,5->5) (5,6->7)] => (2,6->7) support=0 fingerprint=n=7 antecedents=[(2,5->5) (5,6->7)] => (2,6->7)
43	7	2,5,5;5,7,7	2,7,7	2	n=7 antecedents=[(2,5->5) (5,7->7)] => (2,7->7)	n=7 antecedents=[(2,5->5) (5,7->7)] => (2,7->7) support=0 fingerprint=n=7 antecedents=[(2,5->5) (5,7->7)] => (2,7->7)
44	7	2,6,7	2,7,7	3	n=7 antecedents=[(2,6->7)] => (2,7->7)	n=7 antecedents=[(2,6->7)] => (2,7->7) support=0 fingerprint=n=7 antecedents=[(2,6->7)] => (2,7->7)
45	7	2,6,7	6,7,7	3	n=7 antecedents=[(2,6->7)] => (6,7->7)	n=7 antecedents=[(2,6->7)] => (6,7->7) support=0 fingerprint=n=7 antecedents=[(2,6->7)] => (6,7->7)
46	7	2,7,1;6,7,7	2,6,1	1	n=7 antecedents=[(2,7->1) (6,7->7)] => (2,6->1)	n=7 antecedents=[(2,7->1) (6,7->7)] => (2,6->1) support=0 fingerprint=n=7 antecedents=[(2,7->1) (6,7->7)] => (2,6->1)
47	7	3,4,1;3,7,3	4,7,1	1	n=7 antecedents=[(3,4->1) (3,7->3)] => (4,7->1)	n=7 antecedents=[(3,4->1) (3,7->3)] => (4,7->1) support=0 fingerprint=n=7 antecedents=[(3,4->1) (3,7->3)] => (4,7->1)
48	7	3,4,1;4,7,4	3,7,1	1	n=7 antecedents=[(3,4->1) (4,7->4)] => (3,7->1)	n=7 antecedents=[(3,4->1) (4,7->4)] => (3,7->1) support=0 fingerprint=n=7 antecedents=[(3,4->1) (4,7->4)] => (3,7->1)
49	7	3,4,1;4,7,7	3,7,1	2	n=7 antecedents=[(3,4->1) (4,7->7)] => (3,7->1)	n=7 antecedents=[(3,4->1) (4,7->7)] => (3,7->1) support=0 fingerprint=n=7 antecedents=[(3,4->1) (4,7->7)] => (3,7->1)
50	7	3,4,3;4,7,4	3,7,3	1	n=7 antecedents=[(3,4->3) (4,7->4)] => (3,7->3)	n=7 antecedents=[(3,4->3) (4,7->4)] => (3,7->3) support=0 fingerprint=n=7 antecedents=[(3,4->3) (4,7->4)] => (3,7->3)
51	7	3,4,4;3,7,3	4,7,4	1	n=7 antecedents=[(3,4->4) (3,7->3)] => (4,7->4)	n=7 antecedents=[(3,4->4) (3,7->3)] => (4,7->4) support=0 fingerprint=n=7 antecedents=[(3,4->4) (3,7->3)] => (4,7->4)
52	7	3,4,4;3,7,6;4,6,6	4,7,6	1	n=7 antecedents=[(3,4->4) (3,7->6) (4,6->6)] => (4,7->6)	n=7 antecedents=[(3,4->4) (3,7->6) (4,6->6)] => (4,7->6) support=0 fingerprint=n=7 antecedents=[(3,4->4) (3,7->6) (4,6->6)] => (4,7->6)
53	7	3,4,4;4,6,7	3,6,7	1	n=7 antecedents=[(3,4->4) (4,6->7)] => (3,6->7)	n=7 antecedents=[(3,4->4) (4,6->7)] => (3,6->7) support=0 fingerprint=n=7 antecedents=[(3,4->4) (4,6->7)] => (3,6->7)
54	7	3,4,4;4,7,6	3,7,6	1	n=7 antecedents=[(3,4->4) (4,7->6)] => (3,7->6)	n=7 antecedents=[(3,4->4) (4,7->6)] => (3,7->6) support=0 fingerprint=n=7 antecedents=[(3,4->4) (4,7->6)] => (3,7->6)
55	7	3,4,4;4,7,7	3,7,7	1	n=7 antecedents=[(3,4->4) (4,7->7)] => (3,7->7)	n=7 antecedents=[(3,4->4) (4,7->7)] => (3,7->7) support=0 fingerprint=n=7 antecedents=[(3,4->4) (4,7->7)] => (3,7->7)
56	7	3,4,5;3,7,3	4,7,5	1	n=7 antecedents=[(3,4->5) (3,7->3)] => (4,7->5)	n=7 antecedents=[(3,4->5) (3,7->3)] => (4,7->5) support=0 fingerprint=n=7 antecedents=[(3,4->5) (3,7->3)] => (4,7->5)
57	7	3,4,5;4,7,4	3,7,5	2	n=7 antecedents=[(3,4->5) (4,7->4)] => (3,7->5)	n=7 antecedents=[(3,4->5) (4,7->4)] => (3,7->5) support=0 fingerprint=n=7 antecedents=[(3,4->5) (4,7->4)] => (3,7->5)
58	7	3,5,1;3,7,3	5,7,1	1	n=7 antecedents=[(3,5->1) (3,7->3)] => (5,7->1)	n=7 antecedents=[(3,5->1) (3,7->3)] => (5,7->1) support=0 fingerprint=n=7 antecedents=[(3,5->1) (3,7->3)] => (5,7->1)
59	7	3,5,1;3,7,7	5,7,1	1	n=7 antecedents=[(3,5->1) (3,7->7)] => (5,7->1)	n=7 antecedents=[(3,5->1) (3,7->7)] => (5,7->1) support=0 fingerprint=n=7 antecedents=[(3,5->1) (3,7->7)] => (5,7->1)
60	7	3,5,1;5,7,5	3,7,1	2	n=7 antecedents=[(3,5->1) (5,7->5)] => (3,7->1)	n=7 antecedents=[(3,5->1) (5,7->5)] => (3,7->1) support=0 fingerprint=n=7 antecedents=[(3,5->1) (5,7->5)] => (3,7->1)
61	7	3,5,1;5,7,7	3,7,1	1	n=7 antecedents=[(3,5->1) (5,7->7)] => (3,7->1)	n=7 antecedents=[(3,5->1) (5,7->7)] => (3,7->1) support=0 fingerprint=n=7 antecedents=[(3,5->1) (5,7->7)] => (3,7->1)
62	7	3,5,5;3,7,3	5,7,5	2	n=7 antecedents=[(3,5->5) (3,7->3)] => (5,7->5)	n=7 antecedents=[(3,5->5) (3,7->3)] => (5,7->5) support=0 fingerprint=n=7 antecedents=[(3,5->5) (3,7->3)] => (5,7->5)
63	7	3,5,5;5,6,7	3,6,7	3	n=7 antecedents=[(3,5->5) (5,6->7)] => (3,6->7)	n=7 antecedents=[(3,5->5) (5,6->7)] => (3,6->7) support=0 fingerprint=n=7 antecedents=[(3,5->5) (5,6->7)] => (3,6->7)
64	7	3,5,5;5,7,7	3,7,7	3	n=7 antecedents=[(3,5->5) (5,7->7)] => (3,7->7)	n=7 antecedents=[(3,5->5) (5,7->7)] => (3,7->7) support=0 fingerprint=n=7 antecedents=[(3,5->5) (5,7->7)] => (3,7->7)
65	7	3,6,7	3,7,7	5	n=7 antecedents=[(3,6->7)] => (3,7->7)	n=7 antecedents=[(3,6->7)] => (3,7->7) support=0 fingerprint=n=7 antecedents=[(3,6->7)] => (3,7->7)
66	7	3,6,7	6,7,7	5	n=7 antecedents=[(3,6->7)] => (6,7->7)	n=7 antecedents=[(3,6->7)] => (6,7->7) support=0 fingerprint=n=7 antecedents=[(3,6->7)] => (6,7->7)
67	7	3,7,1;6,7,7	3,6,1	4	n=7 antecedents=[(3,7->1) (6,7->7)] => (3,6->1)	n=7 antecedents=[(3,7->1) (6,7->7)] => (3,6->1) support=0 fingerprint=n=7 antecedents=[(3,7->1) (6,7->7)] => (3,6->1)
68	7	3,7,6	3,6,6	1	n=7 antecedents=[(3,7->6)] => (3,6->6)	n=7 antecedents=[(3,7->6)] => (3,6->6) support=0 fingerprint=n=7 antecedents=[(3,7->6)] => (3,6->6)
69	7	3,7,6	6,7,6	1	n=7 antecedents=[(3,7->6)] => (6,7->6)	n=7 antecedents=[(3,7->6)] => (6,7->6) support=0 fingerprint=n=7 antecedents=[(3,7->6)] => (6,7->6)
70	7	4,5,2;4,7,4	5,7,2	2	n=7 antecedents=[(4,5->2) (4,7->4)] => (5,7->2)	n=7 antecedents=[(4,5->2) (4,7->4)] => (5,7->2) support=0 fingerprint=n=7 antecedents=[(4,5->2) (4,7->4)] => (5,7->2)
71	7	4,5,3;4,7,4	5,7,3	1	n=7 antecedents=[(4,5->3) (4,7->4)] => (5,7->3)	n=7 antecedents=[(4,5->3) (4,7->4)] => (5,7->3) support=0 fingerprint=n=7 antecedents=[(4,5->3) (4,7->4)] => (5,7->3)
72	7	4,5,4;4,6,7	5,6,7	2	n=7 antecedents=[(4,5->4) (4,6->7)] => (5,6->7)	n=7 antecedents=[(4,5->4) (4,6->7)] => (5,6->7) support=0 fingerprint=n=7 antecedents=[(4,5->4) (4,6->7)] => (5,6->7)
73	7	4,5,4;4,7,7	5,7,7	2	n=7 antecedents=[(4,5->4) (4,7->7)] => (5,7->7)	n=7 antecedents=[(4,5->4) (4,7->7)] => (5,7->7) support=0 fingerprint=n=7 antecedents=[(4,5->4) (4,7->7)] => (5,7->7)
74	7	4,5,4;5,7,5	4,7,4	1	n=7 antecedents=[(4,5->4) (5,7->5)] => (4,7->4)	n=7 antecedents=[(4,5->4) (5,7->5)] => (4,7->4) support=0 fingerprint=n=7 antecedents=[(4,5->4) (5,7->5)] => (4,7->4)
75	7	4,5,5;4,7,4	5,7,5	3	n=7 antecedents=[(4,5->5) (4,7->4)] => (5,7->5)	n=7 antecedents=[(4,5->5) (4,7->4)] => (5,7->5) support=0 fingerprint=n=7 antecedents=[(4,5->5) (4,7->4)] => (5,7->5)
76	7	4,5,5;5,6,7	4,6,7	4	n=7 antecedents=[(4,5->5) (5,6->7)] => (4,6->7)	n=7 antecedents=[(4,5->5) (5,6->7)] => (4,6->7) support=0 fingerprint=n=7 antecedents=[(4,5->5) (5,6->7)] => (4,6->7)
77	7	4,5,5;5,7,1	4,7,1	2	n=7 antecedents=[(4,5->5) (5,7->1)] => (4,7->1)	n=7 antecedents=[(4,5->5) (5,7->1)] => (4,7->1) support=0 fingerprint=n=7 antecedents=[(4,5->5) (5,7->1)] => (4,7->1)
78	7	4,5,5;5,7,7	4,7,7	4	n=7 antecedents=[(4,5->5) (5,7->7)] => (4,7->7)	n=7 antecedents=[(4,5->5) (5,7->7)] => (4,7->7) support=0 fingerprint=n=7 antecedents=[(4,5->5) (5,7->7)] => (4,7->7)
79	7	4,6,7	4,7,7	8	n=7 antecedents=[(4,6->7)] => (4,7->7)	n=7 antecedents=[(4,6->7)] => (4,7->7) support=0 fingerprint=n=7 antecedents=[(4,6->7)] => (4,7->7)
80	7	4,6,7	6,7,7	8	n=7 antecedents=[(4,6->7)] => (6,7->7)	n=7 antecedents=[(4,6->7)] => (6,7->7) support=0 fingerprint=n=7 antecedents=[(4,6->7)] => (6,7->7)
81	7	4,7,1;6,7,7	4,6,1	1	n=7 antecedents=[(4,7->1) (6,7->7)] => (4,6->1)	n=7 antecedents=[(4,7->1) (6,7->7)] => (4,6->1) support=0 fingerprint=n=7 antecedents=[(4,7->1) (6,7->7)] => (4,6->1)
82	7	4,7,6	4,6,6	1	n=7 antecedents=[(4,7->6)] => (4,6->6)	n=7 antecedents=[(4,7->6)] => (4,6->6) support=0 fingerprint=n=7 antecedents=[(4,7->6)] => (4,6->6)
83	7	4,7,6	6,7,6	3	n=7 antecedents=[(4,7->6)] => (6,7->6)	n=7 antecedents=[(4,7->6)] => (6,7->6) support=0 fingerprint=n=7 antecedents=[(4,7->6)] => (6,7->6)
84	7	5,6,7	5,7,7	17	n=7 antecedents=[(5,6->7)] => (5,7->7)	n=7 antecedents=[(5,6->7)] => (5,7->7) support=0 fingerprint=n=7 antecedents=[(5,6->7)] => (5,7->7)
85	7	5,6,7	6,7,7	17	n=7 antecedents=[(5,6->7)] => (6,7->7)	n=7 antecedents=[(5,6->7)] => (6,7->7) support=0 fingerprint=n=7 antecedents=[(5,6->7)] => (6,7->7)
86	7	5,7,1;6,7,7	5,6,1	1	n=7 antecedents=[(5,7->1) (6,7->7)] => (5,6->1)	n=7 antecedents=[(5,7->1) (6,7->7)] => (5,6->1) support=0 fingerprint=n=7 antecedents=[(5,7->1) (6,7->7)] => (5,6->1)
87	7	6,7,2	2,6,2	7	n=7 antecedents=[(6,7->2)] => (2,6->2)	n=7 antecedents=[(6,7->2)] => (2,6->2) support=0 fingerprint=n=7 antecedents=[(6,7->2)] => (2,6->2)
88	7	6,7,2	2,7,2	7	n=7 antecedents=[(6,7->2)] => (2,7->2)	n=7 antecedents=[(6,7->2)] => (2,7->2) support=0 fingerprint=n=7 antecedents=[(6,7->2)] => (2,7->2)
89	7	6,7,3	3,6,3	7	n=7 antecedents=[(6,7->3)] => (3,6->3)	n=7 antecedents=[(6,7->3)] => (3,6->3) support=0 fingerprint=n=7 antecedents=[(6,7->3)] => (3,6->3)
90	7	6,7,3	3,7,3	7	n=7 antecedents=[(6,7->3)] => (3,7->3)	n=7 antecedents=[(6,7->3)] => (3,7->3) support=0 fingerprint=n=7 antecedents=[(6,7->3)] => (3,7->3)
91	7	6,7,4	4,6,4	8	n=7 antecedents=[(6,7->4)] => (4,6->4)	n=7 antecedents=[(6,7->4)] => (4,6->4) support=0 fingerprint=n=7 antecedents=[(6,7->4)] => (4,6->4)
92	7	6,7,4	4,7,4	8	n=7 antecedents=[(6,7->4)] => (4,7->4)	n=7 antecedents=[(6,7->4)] => (4,7->4) support=0 fingerprint=n=7 antecedents=[(6,7->4)] => (4,7->4)
93	7	6,7,5	5,6,5	5	n=7 antecedents=[(6,7->5)] => (5,6->5)	n=7 antecedents=[(6,7->5)] => (5,6->5) support=0 fingerprint=n=7 antecedents=[(6,7->5)] => (5,6->5)
94	7	6,7,5	5,7,5	5	n=7 antecedents=[(6,7->5)] => (5,7->5)	n=7 antecedents=[(6,7->5)] => (5,7->5) support=0 fingerprint=n=7 antecedents=[(6,7->5)] => (5,7->5)
95	7		1,7,1	335	n=7 antecedents=[] => (1,7->1)	n=7 antecedents=[] => (1,7->1) support=0 fingerprint=n=7 antecedents=[] => (1,7->1)
