region_index	kind	region_fingerprint	source_family_fingerprints	symbol_bound	antecedent_bound	raw_candidates	canonical_candidates	out_of_pool_candidates	local_exact_survivors	plus_one_survivors	theorem_preserving_survivors	why
10	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	64	64	64	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
11	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	198	198	198	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=252 canonical=198 outOfPool=198 ; bounded out-of-pool expansion region scanned
12	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	107	107	107	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=123 canonical=107 outOfPool=107 ; bounded out-of-pool expansion region scanned
13	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	130	130	130	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=164 canonical=130 outOfPool=130 ; bounded out-of-pool expansion region scanned
14	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	107	107	107	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=123 canonical=107 outOfPool=107 ; bounded out-of-pool expansion region scanned
15	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	167	167	167	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=189 canonical=167 outOfPool=167 ; bounded out-of-pool expansion region scanned
16	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	135	135	135	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=189 canonical=135 outOfPool=135 ; bounded out-of-pool expansion region scanned
17	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	107	107	107	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=123 canonical=107 outOfPool=107 ; bounded out-of-pool expansion region scanned
18	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	192	192	192	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=252 canonical=192 outOfPool=192 ; bounded out-of-pool expansion region scanned
19	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	294	294	294	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=368 canonical=294 outOfPool=294 ; bounded out-of-pool expansion region scanned
20	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	28	28	28	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=28 canonical=28 outOfPool=28 ; bounded out-of-pool expansion region scanned
21	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	97	97	97	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=123 canonical=97 outOfPool=97 ; bounded out-of-pool expansion region scanned
22	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	50	50	50	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=50 canonical=50 outOfPool=50 ; bounded out-of-pool expansion region scanned
23	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	97	97	97	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=123 canonical=97 outOfPool=97 ; bounded out-of-pool expansion region scanned
24	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	50	50	50	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=50 canonical=50 outOfPool=50 ; bounded out-of-pool expansion region scanned
25	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	151	151	151	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=189 canonical=151 outOfPool=151 ; bounded out-of-pool expansion region scanned
26	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	56	56	56	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=82 canonical=56 outOfPool=56 ; bounded out-of-pool expansion region scanned
27	quadruple_merged	quadruple:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	50	50	50	0	0	0	quadrupleMergedFamilies=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=50 canonical=50 outOfPool=50 ; bounded out-of-pool expansion region scanned
