kind	label	status	value
path	preset_cache_path	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
path	selected_preset_source	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
path	selected_preset	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
path	suite_config_path	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/suite_config.txt
path	suite_plan_path	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/suite_plan.tsv
value	stage_filter	ok	
command	bash	ok	/bin/bash
command	python3	ok	/Users/free_1/anaconda3/bin/python3
command	mktemp	ok	/usr/bin/mktemp
command	dirname	ok	/usr/bin/dirname
command	script	ok	/usr/bin/script
command	cp	ok	/bin/cp
command	mv	ok	/bin/mv
command	rm	ok	/bin/rm
command	grep	ok	/usr/bin/grep
command	sleep	ok	/bin/sleep
command	tail	ok	/usr/bin/tail
file	solver source	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/boj28350_resume/boj28350_branch_3_solver.cpp
file	artifact resolver	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifact_paths.py
file	release env wrapper	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/solver_release_env.sh
file	branch-local certify helper	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/branch_certify_suite.py
file	outer certify helper	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/lca_tree_stress_v5/tooling/certify_suite.py
file	case generator helper	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/branch_gen_case.py
file	validator helper	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/branch_validator.py
file	resume helper	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/boj28350_resume.py
executable	build wrapper	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/build.sh
file	selected preset	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
materialization	selected preset json materialization	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
json	selected preset json	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
file	suite config	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/suite_config.txt
file	suite plan	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/suite_plan.tsv
python_entrypoint	branch-local certify helper imports	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/branch_certify_suite.py
python_entrypoint	resume helper imports	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/boj28350_resume.py
artifact_path	artifacts_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5
artifact_path	tmp_parent	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp
artifact_path	lock_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.locks
artifact_path	snapshot_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.solver_snapshots/lca_strong_gate
artifact_path	preset_cache_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache
artifact_path	preset_cache_path	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
artifact_path	output_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate
artifact_path	output_parent	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5
artifact_path	failure_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate.latest_failure
artifact_path	workdir	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2
artifact_path	case_run_tmp_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/.case_runs_tmp
artifact_path	case_cache_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/.case_cache
artifact_path	case_cache_tmp_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/.case_cache_tmp
artifact_path	runtime_tmpdir	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS
artifact_path	suite_config_path	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/suite_config.txt
artifact_path	suite_plan_path	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.run.tuq6n2/suite_plan.tsv
artifact_path	BRANCH_ARTIFACT_TMP_ROOT	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS
artifact_path	TMPDIR	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS
artifact_path	TMP	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS
artifact_path	TEMP	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS
artifact_path	HOME	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS/home
artifact_path	XDG_CONFIG_HOME	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS/xdg_config
artifact_path	XDG_CACHE_HOME	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS/xdg_cache
artifact_path	XDG_STATE_HOME	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS/xdg_state
artifact_path	PYTHONPYCACHEPREFIX	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp/lca_strong_gate.env.bU8fAS/pycache
