case_index	stage_index	stage	mode	n	seed	shuffle_labels	shuffle_queries	timeout_s	must_pass	case_artifact_subpath	case_cache_subpath
66	1	correctness_fuzz	comb_rect_dense	512	2	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed2_L0_Q1	comb_rect_dense/n512/seed2_L0_Q1
67	1	correctness_fuzz	comb_rect_dense	512	2	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed2_L1_Q0	comb_rect_dense/n512/seed2_L1_Q0
68	1	correctness_fuzz	comb_rect_dense	512	2	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed2_L1_Q1	comb_rect_dense/n512/seed2_L1_Q1
69	1	correctness_fuzz	comb_rect_dense	512	3	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed3_L0_Q0	comb_rect_dense/n512/seed3_L0_Q0
70	1	correctness_fuzz	comb_rect_dense	512	3	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed3_L0_Q1	comb_rect_dense/n512/seed3_L0_Q1
71	1	correctness_fuzz	comb_rect_dense	512	3	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed3_L1_Q0	comb_rect_dense/n512/seed3_L1_Q0
72	1	correctness_fuzz	comb_rect_dense	512	3	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed3_L1_Q1	comb_rect_dense/n512/seed3_L1_Q1
73	1	correctness_fuzz	comb_rect_dense	512	4	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed4_L0_Q0	comb_rect_dense/n512/seed4_L0_Q0
74	1	correctness_fuzz	comb_rect_dense	512	4	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed4_L0_Q1	comb_rect_dense/n512/seed4_L0_Q1
75	1	correctness_fuzz	comb_rect_dense	512	4	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed4_L1_Q0	comb_rect_dense/n512/seed4_L1_Q0
76	1	correctness_fuzz	comb_rect_dense	512	4	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed4_L1_Q1	comb_rect_dense/n512/seed4_L1_Q1
77	1	correctness_fuzz	comb_rect_dense	512	5	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed5_L0_Q0	comb_rect_dense/n512/seed5_L0_Q0
78	1	correctness_fuzz	comb_rect_dense	512	5	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed5_L0_Q1	comb_rect_dense/n512/seed5_L0_Q1
79	1	correctness_fuzz	comb_rect_dense	512	5	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed5_L1_Q0	comb_rect_dense/n512/seed5_L1_Q0
80	1	correctness_fuzz	comb_rect_dense	512	5	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed5_L1_Q1	comb_rect_dense/n512/seed5_L1_Q1
81	1	correctness_fuzz	comb_rect_dense	1024	1	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed1_L0_Q0	comb_rect_dense/n1024/seed1_L0_Q0
82	1	correctness_fuzz	comb_rect_dense	1024	1	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed1_L0_Q1	comb_rect_dense/n1024/seed1_L0_Q1
83	1	correctness_fuzz	comb_rect_dense	1024	1	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed1_L1_Q0	comb_rect_dense/n1024/seed1_L1_Q0
84	1	correctness_fuzz	comb_rect_dense	1024	1	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed1_L1_Q1	comb_rect_dense/n1024/seed1_L1_Q1
85	1	correctness_fuzz	comb_rect_dense	1024	2	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed2_L0_Q0	comb_rect_dense/n1024/seed2_L0_Q0
86	1	correctness_fuzz	comb_rect_dense	1024	2	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed2_L0_Q1	comb_rect_dense/n1024/seed2_L0_Q1
87	1	correctness_fuzz	comb_rect_dense	1024	2	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed2_L1_Q0	comb_rect_dense/n1024/seed2_L1_Q0
88	1	correctness_fuzz	comb_rect_dense	1024	2	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed2_L1_Q1	comb_rect_dense/n1024/seed2_L1_Q1
89	1	correctness_fuzz	comb_rect_dense	1024	3	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed3_L0_Q0	comb_rect_dense/n1024/seed3_L0_Q0
90	1	correctness_fuzz	comb_rect_dense	1024	3	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed3_L0_Q1	comb_rect_dense/n1024/seed3_L0_Q1
91	1	correctness_fuzz	comb_rect_dense	1024	3	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed3_L1_Q0	comb_rect_dense/n1024/seed3_L1_Q0
92	1	correctness_fuzz	comb_rect_dense	1024	3	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed3_L1_Q1	comb_rect_dense/n1024/seed3_L1_Q1
93	1	correctness_fuzz	comb_rect_dense	1024	4	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed4_L0_Q0	comb_rect_dense/n1024/seed4_L0_Q0
94	1	correctness_fuzz	comb_rect_dense	1024	4	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed4_L0_Q1	comb_rect_dense/n1024/seed4_L0_Q1
95	1	correctness_fuzz	comb_rect_dense	1024	4	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed4_L1_Q0	comb_rect_dense/n1024/seed4_L1_Q0
96	1	correctness_fuzz	comb_rect_dense	1024	4	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed4_L1_Q1	comb_rect_dense/n1024/seed4_L1_Q1
97	1	correctness_fuzz	comb_rect_dense	1024	5	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed5_L0_Q0	comb_rect_dense/n1024/seed5_L0_Q0
98	1	correctness_fuzz	comb_rect_dense	1024	5	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed5_L0_Q1	comb_rect_dense/n1024/seed5_L0_Q1
99	1	correctness_fuzz	comb_rect_dense	1024	5	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed5_L1_Q0	comb_rect_dense/n1024/seed5_L1_Q0
100	1	correctness_fuzz	comb_rect_dense	1024	5	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n1024/seed5_L1_Q1	comb_rect_dense/n1024/seed5_L1_Q1
101	1	correctness_fuzz	multi_comb_rect	64	1	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed1_L0_Q0	multi_comb_rect/n64/seed1_L0_Q0
102	1	correctness_fuzz	multi_comb_rect	64	1	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed1_L0_Q1	multi_comb_rect/n64/seed1_L0_Q1
103	1	correctness_fuzz	multi_comb_rect	64	1	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed1_L1_Q0	multi_comb_rect/n64/seed1_L1_Q0
104	1	correctness_fuzz	multi_comb_rect	64	1	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed1_L1_Q1	multi_comb_rect/n64/seed1_L1_Q1
105	1	correctness_fuzz	multi_comb_rect	64	2	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed2_L0_Q0	multi_comb_rect/n64/seed2_L0_Q0
106	1	correctness_fuzz	multi_comb_rect	64	2	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed2_L0_Q1	multi_comb_rect/n64/seed2_L0_Q1
107	1	correctness_fuzz	multi_comb_rect	64	2	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed2_L1_Q0	multi_comb_rect/n64/seed2_L1_Q0
108	1	correctness_fuzz	multi_comb_rect	64	2	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed2_L1_Q1	multi_comb_rect/n64/seed2_L1_Q1
109	1	correctness_fuzz	multi_comb_rect	64	3	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed3_L0_Q0	multi_comb_rect/n64/seed3_L0_Q0
110	1	correctness_fuzz	multi_comb_rect	64	3	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed3_L0_Q1	multi_comb_rect/n64/seed3_L0_Q1
111	1	correctness_fuzz	multi_comb_rect	64	3	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed3_L1_Q0	multi_comb_rect/n64/seed3_L1_Q0
112	1	correctness_fuzz	multi_comb_rect	64	3	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed3_L1_Q1	multi_comb_rect/n64/seed3_L1_Q1
113	1	correctness_fuzz	multi_comb_rect	64	4	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed4_L0_Q0	multi_comb_rect/n64/seed4_L0_Q0
114	1	correctness_fuzz	multi_comb_rect	64	4	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed4_L0_Q1	multi_comb_rect/n64/seed4_L0_Q1
115	1	correctness_fuzz	multi_comb_rect	64	4	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed4_L1_Q0	multi_comb_rect/n64/seed4_L1_Q0
116	1	correctness_fuzz	multi_comb_rect	64	4	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed4_L1_Q1	multi_comb_rect/n64/seed4_L1_Q1
117	1	correctness_fuzz	multi_comb_rect	64	5	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed5_L0_Q0	multi_comb_rect/n64/seed5_L0_Q0
118	1	correctness_fuzz	multi_comb_rect	64	5	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed5_L0_Q1	multi_comb_rect/n64/seed5_L0_Q1
119	1	correctness_fuzz	multi_comb_rect	64	5	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed5_L1_Q0	multi_comb_rect/n64/seed5_L1_Q0
120	1	correctness_fuzz	multi_comb_rect	64	5	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n64/seed5_L1_Q1	multi_comb_rect/n64/seed5_L1_Q1
121	1	correctness_fuzz	multi_comb_rect	128	1	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed1_L0_Q0	multi_comb_rect/n128/seed1_L0_Q0
122	1	correctness_fuzz	multi_comb_rect	128	1	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed1_L0_Q1	multi_comb_rect/n128/seed1_L0_Q1
123	1	correctness_fuzz	multi_comb_rect	128	1	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed1_L1_Q0	multi_comb_rect/n128/seed1_L1_Q0
124	1	correctness_fuzz	multi_comb_rect	128	1	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed1_L1_Q1	multi_comb_rect/n128/seed1_L1_Q1
125	1	correctness_fuzz	multi_comb_rect	128	2	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed2_L0_Q0	multi_comb_rect/n128/seed2_L0_Q0
126	1	correctness_fuzz	multi_comb_rect	128	2	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed2_L0_Q1	multi_comb_rect/n128/seed2_L0_Q1
127	1	correctness_fuzz	multi_comb_rect	128	2	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed2_L1_Q0	multi_comb_rect/n128/seed2_L1_Q0
128	1	correctness_fuzz	multi_comb_rect	128	2	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed2_L1_Q1	multi_comb_rect/n128/seed2_L1_Q1
129	1	correctness_fuzz	multi_comb_rect	128	3	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed3_L0_Q0	multi_comb_rect/n128/seed3_L0_Q0
130	1	correctness_fuzz	multi_comb_rect	128	3	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed3_L0_Q1	multi_comb_rect/n128/seed3_L0_Q1
131	1	correctness_fuzz	multi_comb_rect	128	3	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed3_L1_Q0	multi_comb_rect/n128/seed3_L1_Q0
132	1	correctness_fuzz	multi_comb_rect	128	3	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed3_L1_Q1	multi_comb_rect/n128/seed3_L1_Q1
133	1	correctness_fuzz	multi_comb_rect	128	4	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed4_L0_Q0	multi_comb_rect/n128/seed4_L0_Q0
134	1	correctness_fuzz	multi_comb_rect	128	4	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed4_L0_Q1	multi_comb_rect/n128/seed4_L0_Q1
135	1	correctness_fuzz	multi_comb_rect	128	4	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed4_L1_Q0	multi_comb_rect/n128/seed4_L1_Q0
136	1	correctness_fuzz	multi_comb_rect	128	4	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed4_L1_Q1	multi_comb_rect/n128/seed4_L1_Q1
137	1	correctness_fuzz	multi_comb_rect	128	5	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed5_L0_Q0	multi_comb_rect/n128/seed5_L0_Q0
138	1	correctness_fuzz	multi_comb_rect	128	5	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed5_L0_Q1	multi_comb_rect/n128/seed5_L0_Q1
139	1	correctness_fuzz	multi_comb_rect	128	5	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed5_L1_Q0	multi_comb_rect/n128/seed5_L1_Q0
140	1	correctness_fuzz	multi_comb_rect	128	5	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n128/seed5_L1_Q1	multi_comb_rect/n128/seed5_L1_Q1
141	1	correctness_fuzz	multi_comb_rect	256	1	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed1_L0_Q0	multi_comb_rect/n256/seed1_L0_Q0
142	1	correctness_fuzz	multi_comb_rect	256	1	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed1_L0_Q1	multi_comb_rect/n256/seed1_L0_Q1
143	1	correctness_fuzz	multi_comb_rect	256	1	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed1_L1_Q0	multi_comb_rect/n256/seed1_L1_Q0
144	1	correctness_fuzz	multi_comb_rect	256	1	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed1_L1_Q1	multi_comb_rect/n256/seed1_L1_Q1
145	1	correctness_fuzz	multi_comb_rect	256	2	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed2_L0_Q0	multi_comb_rect/n256/seed2_L0_Q0
146	1	correctness_fuzz	multi_comb_rect	256	2	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed2_L0_Q1	multi_comb_rect/n256/seed2_L0_Q1
147	1	correctness_fuzz	multi_comb_rect	256	2	1	0	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed2_L1_Q0	multi_comb_rect/n256/seed2_L1_Q0
148	1	correctness_fuzz	multi_comb_rect	256	2	1	1	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed2_L1_Q1	multi_comb_rect/n256/seed2_L1_Q1
149	1	correctness_fuzz	multi_comb_rect	256	3	0	0	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed3_L0_Q0	multi_comb_rect/n256/seed3_L0_Q0
150	1	correctness_fuzz	multi_comb_rect	256	3	0	1	2	1	runs/correctness_fuzz/multi_comb_rect/n256/seed3_L0_Q1	multi_comb_rect/n256/seed3_L0_Q1
